Rows,Cols,Nonzeros,Execution Time COO (ms),Kernel Time COO (ms),Execution Time Naive (ms),Kernel Time Naive (ms)
128,128,1000,0.037271,0.022528,0.025875,0.020096
128,128,5000,0.039043,0.023680,0.026417,0.020576
128,128,10000,0.038727,0.023520,0.027619,0.020352
128,128,50000,0.050763,0.033792,0.026325,0.020480
256,256,1000,0.047822,0.030720,0.058583,0.052256
256,256,5000,0.039047,0.024576,0.056963,0.050816
256,256,10000,0.046594,0.028672,0.060129,0.053152
256,256,50000,0.044903,0.030720,0.059405,0.050688
512,512,1000,0.038117,0.023552,0.097990,0.092064
512,512,5000,0.039286,0.025568,0.097944,0.091552
512,512,10000,0.042501,0.027648,0.102387,0.095552
512,512,50000,0.057553,0.042816,0.097019,0.091168
1024,1024,1000,0.044075,0.027648,0.176246,0.170080
1024,1024,5000,0.041037,0.026624,0.175716,0.169056
1024,1024,10000,0.043840,0.028672,0.179564,0.172096
1024,1024,50000,0.049519,0.032768,0.175653,0.169792
